N_modes,N_F,N_M,mean_error,std_error,mean_time,mean_iters,count
1,1,1,0.0235265711011,0.029698638054344372,2.8029,643.4,10
1,1,2,0.047374011878981,0.09691320247895853,2.005,431.8,10
1,1,3,0.05410067902,0.08258685755955651,2.1667,407.6,10
1,1,4,0.0459815623,0.05322215881487402,4.7553,714.6,10
1,1,5,0.1162544636,0.12636503938499524,3.2481999999999998,418.1,10
1,1,6,0.09138628739,0.09315912166986463,4.072100000000001,453.5,10
1,1,7,1.3668083770000001,3.2659621706666693,3.8067,408.6,10
1,1,8,0.06276150056999999,0.06828969627273386,6.2543999999999995,585.5,10
1,1,9,0.2057127672,0.4448998987430156,6.6746,532.8,10
1,1,10,0.21831729640000003,0.23960041704276677,4.7122,415.2,10
1,1,11,0.4540835764000001,0.9158098756599363,9.415099999999999,609.5,10
1,1,12,0.2909795591,0.7235599296870991,10.4934,601.6,10
1,1,13,0.4388413825,1.1748766510729536,11.4409,687.2,10
1,1,14,0.5742887655,0.6046960429466919,8.555,431.3,10
1,1,15,0.8600412998,2.1754508516243227,12.665000000000001,543.7,10
1,1,16,0.7016483776,1.4266519194272436,14.516300000000001,651.6,10
1,1,17,0.706125649,0.8148663573996613,10.187000000000001,459.8,10
1,1,18,0.1451239647,0.3223118237786204,13.511099999999999,510.8,10
1,1,19,0.1874187557,0.3097474879309916,11.4815,448.3,10
1,1,20,1.1740862911999999,1.5633723768878696,14.3178,456.9,10
1,2,1,0.028178303423099998,0.03823090086287998,2.3791,405.9,10
1,2,2,0.00708283639908,0.015288696562010014,2.2607,405.5,10
1,2,3,0.016622799614,0.018124612121048666,3.6229,475.5,10
1,2,4,0.06993952307,0.17672501378836783,5.7374,661.0,10
1,2,5,0.1231881872,0.2377150930064148,5.761,634.2,10
1,2,6,0.0420043756,0.05597303760741164,5.8607,493.8,10
1,2,7,0.022819373499999997,0.0413494285858487,8.730500000000001,657.0,10
1,2,8,0.2245139553,0.3111446052948827,6.616,480.8,10
1,2,9,0.050564288199999995,0.07513301258408053,9.9962,663.8,10
1,2,10,0.11179768400000001,0.10424091612320069,7.218999999999999,471.7,10
1,2,11,0.11186388709999999,0.22637524999827383,8.5223,511.5,10
1,2,12,0.31188762767,0.46781530628299967,11.991200000000001,634.9,10
1,2,13,0.30695562410000005,0.6484916468126334,8.2864,485.1,10
1,2,14,0.3007667598,0.35403282702760297,16.441300000000002,741.9,10
1,2,15,0.6102982416,0.8747932396794964,14.285599999999999,574.0,10
1,2,16,0.07664875330000001,0.07242618541360817,13.504499999999998,520.8,10
